human_means	teen_model_cos_sims
3.642857142857143	0.49776632
3.4285714285714284	0.2935213
3.7857142857142856	0.32999068
3.857142857142857	0.39302292
3.9285714285714284	0.18831103
4.214285714285714	0.23293573
4.0	0.36074027
3.5	0.21640536
3.142857142857143	0.3973443
2.857142857142857	0.23759939
3.2857142857142856	0.3854057
3.857142857142857	0.3929243
3.0714285714285716	0.33241212
3.9285714285714284	0.40002567
3.642857142857143	0.336502
3.357142857142857	0.08974466
3.5	0.40053004
4.642857142857143	0.24468458
3.0	0.28670356
3.0	0.23142964
